,ME,2W-FRI,W-FRI
2019-12-31,1.3668386981355711,,
2020-01-03,,,1.395301583438252
2020-01-10,,1.4036687970259012,1.4022998613487543
2020-01-17,,,1.4120545177319754
2020-01-24,,1.416375257220903,1.4151661382199334
2020-01-31,1.3964005474424668,,1.410961818732107
2020-02-07,,1.426369144015581,1.4257350326594855
2020-02-14,,,1.4380183147817522
2020-02-21,,1.4431157602973592,1.4426401225271144
2020-02-28,,,1.400142360352995
2020-02-29,1.3840556516914366,,
2020-03-06,,1.4379439238042484,1.4358890567474434
2020-03-13,,,1.3450624626042038
2020-03-20,,1.286641029363056,1.2824167731537621
2020-03-27,,,1.3554038899784904
2020-03-31,1.343674079080688,,
2020-04-03,,1.3562139244370488,1.352192395180629
2020-04-10,,,1.4057110276260236
2020-04-17,,1.4385694096037427,1.4332779215201792
2020-04-24,,,1.4346473885434694
2020-04-30,1.4209119514077733,,
2020-05-01,,1.431065059492753,1.4258941220196972
2020-05-08,,,1.4448736245714606
2020-05-15,,1.4473949235767902,1.4426060339500724
2020-05-22,,,1.4552217463954407
2020-05-29,,1.4740134384743584,1.4688344559744102
2020-05-31,1.4491190375413945,,
2020-06-05,,,1.479325067573471
2020-06-12,,1.4808563637821097,1.47730912439225
2020-06-19,,,1.4910541794859236
2020-06-26,,1.4915592955503816,1.4881696086601865
2020-06-30,1.4777938307441445,,
2020-07-03,,,1.5109569831191976
2020-07-10,,1.5402760938948403,1.5363936404331768
2020-07-17,,,1.5379805209428763
2020-07-24,,1.5530031287897308,1.5490306916231966
2020-07-31,1.5472005079968503,,1.570246909799658
2020-08-07,,1.5904633813155191,1.5861785530938606
2020-08-14,,,1.5702362639527947
2020-08-21,,1.5888941294260022,1.584609824886371
2020-08-28,,,1.5978985812250777
2020-08-31,1.5742356737882544,,
2020-09-04,,1.5860993271978296,1.5823495814050599
2020-09-11,,,1.5706658837964238
2020-09-18,,1.5708765145417003,1.5670786192755781
2020-09-25,,,1.5588365345640183
2020-09-30,1.54827453618065,,
2020-10-02,,1.5717055470057923,1.56817089711763
2020-10-09,,,1.5896655006470084
2020-10-16,,1.5945304424337217,1.5909914702178203
2020-10-23,,,1.5826341759414733
2020-10-30,,1.5504773615956802,1.5471095082005957
2020-10-31,1.5240227511972388,,
2020-11-06,,,1.605869679884406
2020-11-13,,1.6073584697976702,1.6035968255447155
2020-11-20,,,1.6087368367857804
2020-11-27,,1.618790150206172,1.6150219850450276
2020-11-30,1.5848229532724023,,
2020-12-04,,,1.6200674650066313
2020-12-11,,1.626632014020379,1.623146541493869
2020-12-18,,,1.6326734645823526
2020-12-25,,1.6353345305581073,1.6318959862799858
2020-12-31,1.6228919944807365,,
2021-01-01,,,1.6464843458097111
2021-01-08,,1.648701421306453,1.6448908050189073
2021-01-15,,,1.6347807578429752
2021-01-22,,1.6594130689482498,1.6557626549331839
2021-01-29,,,1.6308794735850232
2021-01-31,1.6066533868796964,,
2021-02-05,,1.6555816376103458,1.6528250771058024
2021-02-12,,,1.663309271009852
2021-02-19,,1.645943831869272,1.6431432996020618
2021-02-26,,,1.6076219304964006
2021-02-28,1.5832605458942157,,
2021-03-05,,1.5966078152162355,1.594014612350223
2021-03-12,,,1.6022070575109353
2021-03-19,,1.597662065383541,1.5950413713670073
2021-03-26,,,1.6039909395035157
2021-03-31,1.5754778012687787,,
2021-04-02,,1.6176258708226898,1.614927873888134
2021-04-09,,,1.6311509350746396
2021-04-16,,1.6519880322536429,1.6491826678786126
2021-04-23,,,1.6506366096749499
2021-04-30,1.618804892119146,1.646080837456863,1.6433026768230616
2021-05-07,,,1.656764238315586
2021-05-14,,1.6420968338703479,1.6392488492954946
2021-05-21,,,1.6433292507494934
2021-05-28,,1.663343785256959,1.6604430214615296
2021-05-31,1.6357920417983485,,
2021-06-04,,,1.6701703010036975
2021-06-11,,1.681926623119461,1.678977795475332
2021-06-18,,,1.6655563940604594
2021-06-25,,1.6778388075348343,1.6753155556342267
2021-06-30,1.6582242863682628,,
2021-07-02,,,1.6929262055368202
2021-07-09,,1.7013004633103794,1.698613956112279
2021-07-16,,,1.6990042778045682
2021-07-23,,1.7105562360272502,1.7079631257199674
2021-07-30,,,1.707030291387569
2021-07-31,1.682062833311813,,
2021-08-06,,1.7053030708842565,1.7028323360497368
2021-08-13,,,1.7090449271463595
2021-08-20,,1.7065640561099358,1.7040366379515193
2021-08-27,,,1.720735799459105
2021-08-31,1.6991467657896415,,
2021-09-03,,1.7320330337745338,1.7292142110622337
2021-09-10,,,1.7148916313863347
2021-09-17,,1.7074317045655534,1.7045606477534079
2021-09-24,,,1.6972858351978828
2021-09-30,1.6474190881361581,,
2021-10-01,,1.6840851072783403,1.681312384028653
2021-10-08,,,1.6755128445245273
2021-10-15,,1.699057148867984,1.696232982291253
2021-10-22,,,1.7030225362911113
2021-10-29,,1.7200039880502864,1.7171268994216704
2021-10-31,1.691944787054573,,
2021-11-05,,,1.740379871293891
2021-11-12,,1.74148349056488,1.7386130733696545
2021-11-19,,,1.7411992713138131
2021-11-26,,1.7236172796308271,1.7206515152146358
2021-11-30,1.6961418378504927,,
2021-12-03,,,1.724383724543312
2021-12-10,,1.737740129934605,1.735331726916536
2021-12-17,,,1.7264675201977326
2021-12-24,,1.738781010150014,1.7367785648181646
2021-12-31,1.7145912037471853,,1.741241091422895
2022-01-07,,1.7067201458270365,1.7047306641720046
2022-01-14,,,1.7091085145326872
2022-01-21,,1.6802734149237277,1.6782657688263416
2022-01-28,,,1.6695060479090762
2022-01-31,1.6594706909442067,,
2022-02-04,,1.674485220557278,1.6725944016453969
2022-02-11,,,1.6648474292297095
2022-02-18,,1.6630493992790534,1.660927626046235
2022-02-25,,,1.656673810639294
2022-02-28,1.6398731062521028,,
2022-03-04,,1.6626231184755773,1.6604205128880662
2022-03-11,,,1.619970869028129
2022-03-18,,1.6524085175453316,1.650865951844126
2022-03-25,,,1.6423577292282225
2022-03-31,1.626433662996869,,
2022-04-01,,1.6556192590672616,1.6543912794649265
2022-04-08,,,1.6196546339270756
2022-04-15,,1.5976940707552658,1.5961283348187432
2022-04-22,,,1.5672970087239015
2022-04-29,,1.5491152729751565,1.5473857049987614
2022-04-30,1.5222241358819188,,
2022-05-06,,,1.5214861437334442
2022-05-13,,1.5151746503792443,1.5137609561265022
2022-05-20,,,1.5128436762505943
2022-05-27,,1.5511998055054328,1.5506828239657438
2022-05-31,1.5137235405177947,,
2022-06-03,,,1.5346781789105763
2022-06-10,,1.4982274362709074,1.4976588976027616
2022-06-17,,,1.459744112632528
2022-06-24,,1.4966772853832306,1.4969719697902182
2022-06-30,1.459053239537473,,
2022-07-01,,,1.4946691010434006
2022-07-08,,1.4892441811844443,1.490276012818419
2022-07-15,,,1.489215515322444
2022-07-22,,1.5156208586601352,1.516708739452388
2022-07-29,,,1.5430886393958587
2022-07-31,1.5161289399833635,,
2022-08-05,,1.5413033518850814,1.5422171697243188
2022-08-12,,,1.5612658397305874
2022-08-19,,1.5345040855465293,1.5354557326752007
2022-08-26,,,1.5147183982900483
2022-08-31,1.4648339677162963,,
2022-09-02,,1.48017151882172,1.4808736517187757
2022-09-09,,,1.4922770487447161
2022-09-16,,1.4535033285098924,1.454737211582037
2022-09-23,,,1.4155765932192204
2022-09-30,1.366051896577867,1.3898101556737246,1.390758104798271
2022-10-07,,,1.3974812842310833
2022-10-14,,1.3697404981681955,1.3707713617602235
2022-10-21,,,1.3812229274836412
2022-10-28,,1.4034899203643596,1.40469790722397
2022-10-31,1.3716107083913895,,
2022-11-04,,,1.3886582007456965
2022-11-11,,1.447928674125105,1.449477962856589
2022-11-18,,,1.4487400181223504
2022-11-25,,1.4632269249158034,1.4646910137753277
2022-11-30,1.4550265988239557,,
2022-12-02,,,1.4976525186033092
2022-12-09,,1.4740744150901384,1.475494503937333
2022-12-16,,,1.4685186473096188
2022-12-23,,1.4466772266742853,1.4482349606712304
2022-12-30,,,1.4406671465234264
